"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
1021,1083,PSMD11,1358.223755,64794,320,3.140019861,4.381309047,-437,0.000267,0.333333333,0.022474846
1022,1084,THOC1,2336.346407,110086,406,3.186196624,4.815076801,-344,0.000274,0.333333333,0.029664956
1023,1085,EYA1,1506.170631,61422,284,3.134558093,5.557503462,-448,0.000266,0.333333333,0.018934561
1024,1086,CCT4,2570.258001,113446,422,3.185203575,4.623969278,-346,0.000274,0.333333333,0.027825595
1025,1087,ZNF264,1280.25872,43056,213,3.101290963,6.824180953,-515,0.000262,0.333333333,0.012624515
1026,1088,FLT3,973.952002,39882,244,3.109731877,5.049021949,-498,0.000263,0.333333333,0.015042613
1027,1089,SPOP,1119.875908,41054,232,3.107249255,5.799337283,-503,0.000262,0.333333333,0.013949731
1028,1090,ZNF253,562.5576969,20396,149,3.067030785,6.064226407,-584,0.000257,0.333333333,0.009511202
1029,1091,TOP1,6624.828573,287690,673,3.292949355,4.825161157,-129,0.000291,0.5,0.043365554
1030,1092,NRAS,3518.284258,155230,488,3.214995035,4.764167659,-286,0.000278,0.333333333,0.030511217
1031,1093,AKT2,1966.151991,90010,385,3.167825223,4.408240727,-381,0.000271,0.333333333,0.02415256
1032,1094,ITGAV,1367.232483,55066,288,3.12611718,4.749893795,-465,0.000265,0.333333333,0.015944789
1033,1095,TRRAP,3564.93575,152748,495,3.214001986,4.670306453,-288,0.000278,0.333333333,0.031507851
1034,1096,GPATCH8,1464.406263,59622,276,3.133565045,5.606376816,-450,0.000266,0.333333333,0.01772417
1035,1097,MNAT1,1829.707029,83212,347,3.158887786,5.06209833,-399,0.00027,0.333333333,0.025297921
1036,1098,AC004381.6,1184.333616,59672,220,3.101787488,6.424727209,-514,0.000262,0.333333333,0.016944862
1037,1099,KHDRBS1,1660.235696,93472,399,3.174776564,3.895665656,-367,0.000272,0.333333333,0.029371771
1038,1100,NPAT,1255.733992,54670,276,3.128599801,5.41857843,-460,0.000265,0.333333333,0.018749503
1039,1101,PDE3B,464.745818,18218,154,3.071996028,5.953829001,-574,0.000258,0.333333333,0.010821106
1040,1102,GRK6,1880.780851,74892,322,3.143992056,5.376343193,-429,0.000268,0.333333333,0.020550924
1041,1103,PPM1B,1308.973946,63620,291,3.137537239,4.838457413,-442,0.000267,0.333333333,0.019992922
1042,1104,AHR,3714.270395,142302,467,3.203574975,4.967580982,-309,0.000276,0.333333333,0.026595621
1043,1105,CBLB,1676.034484,64776,318,3.137537239,4.907392823,-442,0.000267,0.333333333,0.017718757
1044,1106,IRS2,3993.025972,145070,448,3.201588878,5.643871305,-313,0.000276,0.333333333,0.025840585
1045,1107,AKAP10,2556.389002,115092,408,3.186693148,4.985106077,-343,0.000274,0.333333333,0.027737032
1046,1108,SRC,3639.358388,174752,452,3.175769613,4.654728178,-365,0.000272,0.333333333,0.023103757
1047,1109,GH1,381.1027621,11868,102,3.042701092,7.226088826,-632,0.000254,0.333333333,0.005080427
1048,1110,RANBP2,2767.101146,121410,429,3.190665343,4.843766766,-335,0.000274,0.333333333,0.028016822
